indicator,geo,sector,period,available_at,value,availability_basis,source_url,retrieved_at
industrial_production,ES,industry,2026-05-01,2026-09-19,104.6,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2026-06-01,2026-09-19,104.0,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2026-07-01,2026-09-19,104.6,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
construction,ES,construction,2024-01-01,2026-09-19,99.6,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
construction,ES,construction,2024-02-01,2026-09-19,95.7,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
construction,ES,construction,2024-03-01,2026-09-19,98.4,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
construction,ES,construction,2024-04-01,2026-09-19,95.1,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
construction,ES,construction,2024-05-01,2026-09-19,96.2,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
construction,ES,construction,2024-06-01,2026-09-19,97.0,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
construction,ES,construction,2024-07-01,2026-09-19,100.4,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
construction,ES,construction,2024-08-01,2026-09-19,98.3,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
